country,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
 Australia,33881.8326,33926.537,34877.9384,35372.5526,36473.0165,36735.6549,37030.4842,37447.391,38125.3601,37806.0293,37813.3845,37954.0887,38123.2109,38691.2338,38435.7596,37669.528,38259.9032,38583.4848,38924.9768,39073.6571
 Austria,36998.0949,37037.8233,37641.9365,37740.1874,38585.183,39233.8626,40557.0873,41796.3893,42384.3134,39684.6448,40553.4587,41225.8638,40878.2638,40443.2985,40210.7899,39700.4617,40594.7688,40795.3645,41744.6586,42114.3093
 Belgium,36319.1538,36159.4248,36431.5866,36371.7463,37237.9438,37778.4578,38404.4578,39410.3136,39234.6954,37480.5572,38239.0607,37865.3377,38732.7431,38798.5303,39083.2363,39406.5039,39444.1364,40111.8574,40144.2864,40261.5511
 Canada,34851.0843,34620.0227,35232.0541,35483.226,36343.3445,37082.1483,37995.9538,38110.0312,37584.0176,35658.0497,36313.2679,36547.2956,37208.0902,37646.1877,38226.7187,37658.7641,37627.7977,38739.6813,38894.9879,39051.481
 Chile,16080.0874,16317.4504,16572.1298,16678.8363,17114.8762,17740.0317,17686.6836,18447.7046,19762.2187,19017.3117,19631.7359,20727.5695,21804.1082,22349.946,22467.7535,22637.2697,22575.2049,21968.7628,22253.9001,22251.7171
 Czech Republic,18131.9927,18521.7537,18730.8666,19403.8608,20091.059,21396.5338,22359.8321,23308.9151,23498.4782,21666.8244,21974.4551,22329.2801,22394.5532,22198.1341,22596.7875,24037.7187,24741.9664,26141.23,27287.8804,27716.9897
 Denmark,37863.0963,38177.2271,38553.0234,38849.1072,40571.2996,42620.196,44459.9696,43909.2948,43444.6989,40911.8736,42403.0594,42502.3492,42273.6276,42949.7272,44017.6081,44131.8519,45097.669,45673.9793,46573.72,47461.6209
 Estonia,14196.6001,14861.9909,15907.5678,17008.6048,18166.6568,20420.1738,22165.4801,23469.0498,22361.0155,18980.2864,19084.4684,20906.4857,21791.6432,22495.7782,23229.9756,23713.8255,24411.0928,25899.8316,27387.4042,28307.4187
 Finland,31516.386,32089.304,33050.2044,33349.2915,34986.461,35555.7235,37000.0649,38392.98,38353.2679,34989.8673,36413.3557,36840.8841,35846.918,35305.4042,35229.4693,35194.9912,35904.1599,36660.7672,37185.0004,37759.2477
 France,35010.5312,35242.6175,34900.3163,34975.5619,35680.6341,36111.5432,36826.0922,37256.0535,36644.0433,35190.6847,35771.8007,35862.5882,35330.6567,35405.9971,35541.7993,35794.6397,35927.5989,36620.9199,36878.783,37248.8512
 Germany,33027.8562,33279.9121,32988.0119,32926.3552,33833.5626,34076.6027,35680.7447,36473.6544,36530.367,34314.02,35455.1546,36294.4039,36458.4341,36489.1656,37081.0122,37679.5481,38438.0425,39204.8742,39650.0437,40110.0458
 Greece,26677.1669,27494.6112,28528.5615,29414.6042,30564.9679,29977.6729,31262.556,31968.0496,31473.9618,30337.8788,27261.5293,23748.7249,22240.9605,21283.6416,21998.6981,22044.6004,22028.6621,22588.1607,22996.054,23766.1933
